"BoreThickness","PlateThickness","TubeDiameter","BoreTubeRatio","BorePlateRatio","BPSquared","DiameterSquared","PlateDiamRatio","PlateDiamRatioSquared","BoreTubeRatioSquared","Error"
0.0625,0.125,4,0.24,0.5,0.25,16,0.03125,0.000976563,0.0576,-17
0.02,0.125,4,0.5001,0.161072208,0.026,16,0.03125,0.000976563,0.25,-15.1
0.1875,0.25,10,0.702,0.75,0.5625,100,0.025,0.000625,0.492804,-9.5
0.0625,0.125,4,0.31,0.5,0.25,16,0.03125,0.000976563,0.0961,-17.1
0.0625,0.125,6,0.49,0.5,0.25,36,0.020833333,0.000434028,0.2401,-13.4
0.0625,0.125,6,0.7,0.5,0.25,36,0.020833333,0.000434028,0.49,-11.1
0.1875,0.25,10,0.728,0.75,0.5625,100,0.025,0.000625,0.529984,-9.4
0.0625,0.125,4,0.37,0.5,0.25,16,0.03125,0.000976563,0.1369,-16.8
0.0625,0.125,6,0.41,0.5,0.25,36,0.020833333,0.000434028,0.1681,-17.4
0.03125,0.125,2,0.6702,0.25,0.0625,4,0.0625,0.00390625,0.44916804,-13.2
0.0625,0.125,4,0.6,0.5,0.25,16,0.03125,0.000976563,0.36,-13.1
0.0625,0.125,4,0.7499,0.5,0.25,16,0.03125,0.000976563,0.56235001,-10.7
0.03125,0.125,2,0.6003,0.25,0.0625,4,0.0625,0.00390625,0.36036009,-14
0.0625,0.125,4,0.6002,0.5,0.25,16,0.03125,0.000976563,0.36024004,-13
0.0625,0.125,6,0.66,0.5,0.25,36,0.020833333,0.000434028,0.4356,-12
0.0625,0.125,4,0.67,0.5,0.25,16,0.03125,0.000976563,0.4489,-12.1
0.0625,0.125,4,0.43,0.5,0.25,16,0.03125,0.000976563,0.1849,-15.3
0.0625,0.125,4,0.37,0.5,0.25,16,0.03125,0.000976563,0.1369,-17.2
0.0625,0.125,6,0.33,0.5,0.25,36,0.020833333,0.000434028,0.1089,-15.7
0.0625,0.125,4,0.75,0.5,0.25,16,0.03125,0.000976563,0.5625,-10.8
0.0625,0.125,6,0.45,0.5,0.25,36,0.020833333,0.000434028,0.2025,-13.3
0.03125,0.125,2,0.7502,0.25,0.0625,4,0.0625,0.00390625,0.56280004,-12.1
0.0625,0.125,4,0.5,0.5,0.25,16,0.03125,0.000976563,0.25,-15.4
0.03125,0.125,2,0.5001,0.25,0.0625,4,0.0625,0.00390625,0.25010001,-16.3
0.0625,0.125,4,0.68,0.5,0.25,16,0.03125,0.000976563,0.4624,-13.4
0.0625,0.125,6,0.37,0.5,0.25,36,0.020833333,0.000434028,0.1369,-15.2
0.0625,0.125,4,0.5001,0.5,0.25,16,0.03125,0.000976563,0.25010001,-14.3
0.1875,0.25,10,0.624,0.75,0.5625,100,0.025,0.000625,0.389376,-9.8
0.0625,0.125,4,0.3999,0.5,0.25,16,0.03125,0.000976563,0.15992001,-14.8
0.016,0.125,4,0.4,0.128832,0.017,16,0.03125,0.000976563,0.16,-16
0.0625,0.125,6,0.24,0.5,0.25,36,0.020833333,0.000434028,0.0576,-16
0.0625,0.125,6,0.53,0.5,0.25,36,0.020833333,0.000434028,0.2809,-14
0.03,0.125,4,0.75,0.24156,0.058,16,0.03125,0.000976563,0.563,-11.7
0.0625,0.125,4,0.5,0.5,0.25,16,0.03125,0.000976563,0.25,-15.2
0.1875,0.25,10,0.208,0.75,0.5625,100,0.025,0.000625,0.043264,-18.7
0.0625,0.125,4,0.56,0.5,0.25,16,0.03125,0.000976563,0.3136,-13.4
0.0625,0.125,6,0.45,0.5,0.25,36,0.020833333,0.000434028,0.2025,-14.7
0.0625,0.125,4,0.75,0.5,0.25,16,0.03125,0.000976563,0.5625,-14.3
0.0625,0.125,6,0.28,0.5,0.25,36,0.020833333,0.000434028,0.0784,-17.4
